#OTU ID	A01	A02	A03	A04	A05	A06	A07	A08	A09	A10	A11	A12	A13	A14	A15	A16	A17	A18	A19	A20	A21	B01	B02	B03	B04	B05	B06	B07	B08	B09	B10	B11	B12	B13	B14	B15	B16a	B16b	B17	B18	B19	C02	C03	C04	C04_75	C05	C06	C07	C08	C09	C10	C11	C12	C13	C14	C15	C16	C17	C18	D01	D02	D03	D04	D05	D06	D07	D08	D09	D10	D11	D12	D13	D14	D15	D16	D17	D18	Consensus Lineage
OTU_118	57	34	121	49	56	27	45	34	67	88	94	33	48	82	39	38	43	42	22	28	11	45	16	119	38	97	120	38	43	108	318	210	73	5	6	3	6	7	3	2	3	43	72	35	112	29	61	86	44	13	4	4	0	4	3	1	2	1	0	91	65	53	75	72	45	38	29	38	26	32	34	5	1	5	3	1	0	 k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Comamonadaceae; g__Limnohabitans; s__
OTU_163	133	100	435	146	243	399	16	13	23	35	32	22	13	35	17	28	18	15	12	18	3	4	5	8	2	1	0	0	2	10	21	17	17	13	45	19	45	44	34	17	20	1	4	3	14	6	10	3	9	3	12	8	7	6	13	4	14	7	8	0	0	1	0	1	0	4	6	8	20	20	21	9	16	12	17	7	10	 k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Oxalobacteraceae; g__Polynucleobacter; s__
OTU_30	69	45	289	120	180	160	81	278	344	429	668	308	181	414	59	108	56	152	91	92	64	1	0	0	4	16	80	40	45	63	444	78	67	24	73	15	99	104	37	32	50	162	381	283	695	435	782	1480	408	70	86	146	87	23	50	25	90	54	65	279	196	173	208	166	175	193	215	305	225	84	92	35	36	109	208	147	129	 k__Bacteria; p__Bacteroidetes; c__Sphingobacteriia; o__Sphingobacteriales; f__Sphingobacteriaceae; g__; s__
OTU_5	108	53	167	67	72	156	241	203	445	938	879	298	395	1049	435	720	705	379	692	436	220	85	53	200	34	49	101	30	32	146	470	3102	4845	1582	3068	1726	2025	1913	1431	1165	764	60	97	50	139	43	80	69	391	294	2111	2895	1269	538	1009	755	2375	913	1402	140	107	81	119	94	97	140	161	560	2808	4650	6726	2049	1441	2383	1852	1145	706	 k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Oxalobacteraceae; g__Polynucleobacter; s__
OTU_2603	1	0	5	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 k__Bacteria; p__OD1; c__ZB2; o__; f__; g__; s__
OTU_38	69	48	184	58	93	341	280	318	325	610	690	270	278	677	323	408	375	292	334	320	152	147	115	640	280	466	514	86	42	126	365	751	304	94	309	149	343	326	203	222	170	126	259	174	379	175	260	409	345	183	330	369	189	111	154	66	193	85	133	274	207	207	224	171	138	195	178	415	237	225	241	144	97	160	201	134	65	 k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__ACK-M1; g__; s__
OTU_1633	1	0	2	2	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 k__Bacteria; p__OD1; c__ZB2; o__; f__; g__; s__
OTU_756	81	41	146	66	98	1520	201	129	145	190	179	59	43	114	33	51	58	35	25	31	23	5	0	4	14	24	38	25	58	106	244	549	224	15	44	16	61	45	39	25	25	4	6	2	10	6	3	10	7	4	13	15	4	7	21	16	16	8	9	11	9	13	20	19	14	24	20	9	19	17	32	12	3	1	6	6	8	 k__Bacteria; p__Bacteroidetes; c__Flavobacteriia; o__Flavobacteriales; f__Flavobacteriaceae; g__Flavobacterium; s__
OTU_31	129	92	573	104	142	69	57	54	74	79	83	31	28	22	25	31	24	20	10	12	8	101	80	354	194	302	431	91	40	68	200	102	55	6	27	12	20	30	22	9	12	360	745	449	1015	524	694	930	500	104	121	166	133	58	69	25	53	27	30	522	351	298	377	362	378	412	342	618	144	50	71	28	29	37	61	34	29	 k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Methylophilales; f__Methylophilaceae; g__; s__
OTU_48	264	112	374	105	230	1178	227	194	187	269	168	58	81	108	30	64	84	39	84	139	58	168	91	335	62	151	142	67	41	301	878	736	347	49	130	109	189	181	175	186	110	69	218	74	289	76	182	123	103	20	12	29	12	41	51	54	158	65	128	95	90	92	91	81	66	76	113	177	133	69	302	90	79	64	71	49	27	 k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__; g__; s__
